Player,Position,College,Teams
Lewis Chad,TE,Brigham Young,"1997-1998 Phi, 1999 Stl, 1999-2005 Phi"
Lewis Chris,QB,Stanford,NFLE: 2005 Col
Lewis CJ,WR,Bowling Green,--
Lewis Cliff,LB,Southern Mississippi,1981-1984 GB
Lewis Cliff,DB/QB,Duke,1950-1951 Cle
Lewis D.D.,LB,Texas,"2002-2003,2005-2006 Sea, 2007 Den, 2008-2009 Sea"
Lewis D.D.,LB,Mississippi State,"1968,1970-1981 Dal"
Lewis Damien,OG,Louisiana State,2020-2023 Sea
Lewis Damione,DT,Miami,"2001-2005 Stl, 2006-2009 Car, 2010 Hou"
Lewis Dan,RB,Wisconsin,"1958-1964 Det, 1965 Was, 1966 NYG"
Lewis Darrell,DB,San Diego State,NFLE: 1995 Sco
Lewis Darren,RB,Texas A&M,1991-1993 Chi
Lewis Darryl,TE,Texas-Arlington,1984 Cle
Lewis Darryll,DB,Arizona,"1991-1996 Hou, 1997-1998 Ten, 1999-2000 SD"
Lewis Dave,LB,Southern California,"1977-1981 TB, 1982 SD, 1983 LA"
Lewis Dave,P,Stanford,1970-1973 Cin
Lewis David,TE,California,"1984-1986 Det, 1987 Mia"
Lewis Derrick,WR,San Diego State,"2002-2003 NO, 2006 Hou, NFLE: 2004 Fra"
Lewis Detron,WR,Texas Tech,--
Lewis Dezmin,WR,Central Arkansas,2015-2016 Buf
Lewis Dion,RB,Pittsburgh,"2011-2012 Phi, 2013 Cle, 2015-2017 NE, 2018-2019 Ten, 2020 NYG"
Lewis Donnie,DB,Tulane,--
Lewis Drew,LB,Colorado,--
Lewis Eddie,DB,Kansas,"1976-1979 SF, 1979-1980 Det"
Lewis Ernie,RB/LB,Colorado,--
Lewis Eugene,WR,Oklahoma,--
Lewis Frank,WR,Grambling,"1971-1977 Pit, 1978-1983 Buf"
Lewis Franklin,RB,--,1931 Cle
Lewis Garry,DB,Alcorn State,"1990-1991 LAR, 1992 TB, 1993 KC"
Lewis Gary,TE,Texas-Arlington,1981-1984 GB
Lewis Gary,DT,Oklahoma State,1983 NO
Lewis Gary,RB,Arizona State,"1964-1969 SF, 1970 NO"
Lewis Greg,RB,Washington,1991-1992 Den
Lewis Greg,WR,Illinois,"2003-2008 Phi, 2009-2010 Min"
Lewis H.,OG,Jefferson CC (KY),1921 Lou
Lewis Hal,DB,Arizona State,1968 Den
Lewis Hal,RB/DB,Houston,"1959 Bal, 1960 Buf, 1962 Oak"
Lewis Ike,WR,Appalachian State,--
Lewis Isaiah,DB,Michigan State,--
Lewis Isaiah,DB,Colorado,--
Lewis Jacque,RB,North Carolina,"NFLE: 2006-2007 Rhe, 2007 Ham"
Lewis Jamal,RB,Tennessee,"2000-2006 Bal, 2007-2009 Cle"
Lewis James,DB,Miami,"NFLE: 2003 Bar, 2004 Sco"
Lewis Javes,DB,Oregon,--
Lewis Jeff,QB,Northern Arizona,"1996-1997 Den, 1999-2000 Car"
Lewis Jeremy,OG,Miami,--
Lewis Jermaine,WR,Maryland,"1996-2001 Bal, 2002 Hou, 2003-2004 Jax"
Lewis Jermaine,WR,Western Michigan,NFLE: 2004 Fra
Lewis Jess,LB,Oregon State,1970 Hou
Lewis Joe,DT,Compton CC (CA),"1958-1960 Pit, 1961 Bal, 1962 Phi"
Lewis John,DB,Pittsburgh,1987 Buf
Lewis John,WR,Oklahoma State,2003 Atl
Lewis Jonas,RB,San Diego State,"2000-2001 SF, NFLE: 2003 Fra"
Lewis Jonathan,DT,Virginia Tech,2006 Ari
Lewis Josh,DB,Eastern Washington,--
Lewis Jourdan,DB,Michigan,2017-2023 Dal
Lewis Julian,DB,New Mexico,--
Lewis Kahlil,WR,Cincinnati,--
Lewis Keenan,DB,Oregon State,"2009-2012 Pit, 2013-2015 NO"
Lewis Keith,DB,Oregon,"2004-2008 SF, 2009 Car"
Lewis Keith,DB,Virginia-Lynchburg,--
Lewis Kendrick,DB,Mississippi,"2010-2013 KC, 2014 Hou, 2015-2016 Bal, 2018 Ten"
Lewis Kenny,RB,Virginia Tech,"1980-1981,1983 NYJ"
Lewis Kevin,LB,Duke,2000-2005 NYG
Lewis Kevin,DB,Northwestern State,1990-1991 SF
Lewis Kevin,DT,Virginia Tech,NFLE: 2006 Ham
Lewis Kip,WR,Arizona,NFLE: 1991-1992 NYNJ
Lewis Kyle,WR,Cal Poly-S.L.O.,--
Lewis Lance,WR,East Carolina,2013 Was
Lewis LaTroy,LB,Tennessee,"2017 Hou, 2018 Ten"
Lewis Leo,WR,Missouri,"1981-1989 Min, 1990 Cle, 1990-1991 Min"
Lewis Leo,LB,Mississippi State,--
Lewis LeQuan,DB,Arizona State,"2012 Dal, 2012 TB, 2014 NYJ"
Lewis Levi,QB,Louisiana-Lafayette,--
Lewis Mac,OT,Iowa,1959 ChiC
Lewis Malcolm,WR,Miami,--
Lewis Marcedes,TE,UCLA,"2006-2017 Jax, 2018-2022 GB"
Lewis Marcus,DT,Urbana,--
Lewis Marcus,DB,Maryland,--
Lewis Mark,TE,Texas A&M,"1985-1987 GB, 1987-1988 Det"
Lewis Mark,OG,Oregon,--
Lewis Marquavius,DE,South Carolina,--
Lewis Marvin,RB,Tulane,1982 NO
Lewis Melvin,DT,Kentucky,--
Lewis Michael,WR,--,"2001-2006 NO, 2007 SF, NFLE: 2001 Rhe"
Lewis Michael,DB,Colorado,"2002-2006 Phi, 2007-2010 SF, 2010 Stl"
Lewis Mike,DT,Arkansas-Pine Bluff,"1971-1979 Atl, 1980 GB"
Lewis Mo,LB,Georgia,1991-2003 NYJ
Lewis Monte,LB,Jacksonville State,--
Lewis Myron,DB,Vanderbilt,2010-2012 TB
Lewis Nate,WR,Oregon Tech,"1990-1993 SD, 1994-1995 Chi"
Lewis Nikolas,WR,Southern Arkansas,--
Lewis Patrick,C,Texas A&M,"2013 Cle, 2013 Jax, 2014-2015 Sea, 2016 Buf"
Lewis Ray,LB,Miami,1996-2012 Bal
Lewis Reggie,DE,San Diego State,1982-1984 NO
Lewis Reggie,DE,North Texas,1979-1980 TB
Lewis Reggie,DB,Florida,--
Lewis Rich,LB,Portland State,"1972 Hou, 1973-1974 Buf, 1974-1975 NYJ"
Lewis Roderick,TE,Arizona,"1994-1996 Hou, 1997 Ten"
Lewis Rodney,DB,Nebraska,1982-1984 NO
Lewis Roger,WR,Bowling Green,2016-2017 NYG
Lewis Ron,OG,Washington State,"1995 Was, NFLE: 1997-1998 Ams"
Lewis Ron,WR,Florida State,"1990,1992 SF, 1992-1994 GB"
Lewis Ronnell,DE,Oklahoma,2012 Det
Lewis Roy,DB,Washington,"2008 Pit, 2009-2011 Sea"
Lewis Ryan,DB,Pittsburgh,"2018 Buf, 2019 Ind, 2019 Phi, 2019 Mia, 2020 NYG"
Lewis Scotty,DE,Baylor,NFLE: 1997 Fra
Lewis Shaun,LB,Oklahoma State,--
Lewis Shelton,DB,Florida Atlantic,--
Lewis Sherman,DB,Michigan State,1966-1967 NYJ
Lewis Sid,DB,Penn State,1987 NYJ
Lewis Stan,DE,Wayne State (NE),1975 Cle
Lewis Tahaun,DB,Nebraska,1992 KC
Lewis Tareke,DB,Utah,--
Lewis Terrell,LB,Alabama,"2020-2022 LA, 2022-2023 Chi"
Lewis Terry,DB,Michigan State,1985 SD
Lewis Thaddeus,QB,Duke,"2011-2012 Cle, 2013 Buf, 2014 Hou, 2015 Phi"
Lewis Thomas,WR,Indiana,1994-1997 NYG
Lewis Tim,DB,Pittsburgh,1983-1986 GB
Lewis Tiny,RB/BB,Northwestern,1930 Port
Lewis Tommylee,WR,Northern Illinois,"2016-2018,2020 NO, 2021 Mia"
Lewis Travis,LB,Oklahoma,2012-2015 Det
Lewis Trey,DT,Washburn,"2007,2009-2010 Atl"
Lewis Tyquan,DE,Ohio State,2018-2023 Ind
Lewis Vernon,DB,Pittsburgh,1993-1996 NE
Lewis Wesley,WR,Angelo State,--
Lewis Will,DB,Millersville,1980-1981 Sea
Lewis Woodley,DB/OE,Oregon,"1950-1955 LA, 1956-1959 ChiC, 1960 Dal"
Lewis Xavier,DB,Southeastern Louisiana,--
Lewis Zane,DB,Air Force,--
Lewis-Harris Chris,DB,Tennessee-Chattanooga,"2012-2016 Cin, 2016 Bal"
Lewis-Moore Kapron,DE,Notre Dame,2015 Bal
Leyendecker Tex,OT/C,Vanderbilt,1933 Phi
Leypoldt John,K,Northern Virginia CC,"1971-1976 Buf, 1976-1977 Sea, 1978 NO, 1978 Sea"
Leyva Victor,OG,Arizona State,2002-2003 Cin
Li Chaoran,K,Bacone,NFLE: 2007 Ams
Liaina Ina,RB,San Jose State,--
Licata Joe,QB,Buffalo,--
Lichtensteiger Kory,OG,Bowling Green,"2008 Den, 2009 Min, 2010-2016 Was"
Lick Dennis,OT,Wisconsin,1976-1981 Chi
Lidberg Carl,RB,Minnesota,"1926,1929-1930 GB"
Liddell Josh,DB,Arkansas,--
Liddiard Brody,TE,Colorado,"2000 Mia, 2001-2003 Min"
Liddick Dave,DT,George Washington,1957 Pit
Liebel Frank,OE,Norwich,"1942-1947 NYG, 1948 ChiC"
Liebenstein Todd,DE,Nevada-Las Vegas,1982-1985 Was
Lieberum Don,RB/DB,Manchester,1942 NYG
Liedtke Mike,OL,Illinois State,2017-2018 TB
Liegghio Marc,K,Western Ontario,--
Lies Michael,OG,Kansas,NFLE: 2000 Ams
Liess Christopher,WR,--,"NFLE: 2003-2004 Rhe, 2006 Ber, 2006 Col"
Liggett Bob,DT,Nebraska,1970 KC
Liggins Jamalcolm,DB,Dickinson State (ND),--
Liggins Jeremy,DT,Mississippi,--
Liggins Justice,WR,Stephen F. Austin,--
Light Alex,OT,Richmond,2018-2019 GB
Light Dan,TE,Fordham,--
Light Matt,OT,Purdue,2001-2011 NE
Lightbody Sam,OT,Washington State,--
Lightbourn Caleb,K,Idaho,--
Lightner Kevin,OT,Nebraska,NFLE: 1991 Mtl
Ligon Lemual,DB,Savannah State,NFLE: 2003 Rhe
Likely Isaiah,TE,Coastal Carolina,2022-2023 Bal
Likely William,DB,Maryland,--
Liles Alva,DT,Boise State,"1980 Oak, 1980 Det"
Liles Sonny,OG/LB,Oklahoma State,"1943-1945 Det, 1945 Cle"
Lilja George,C,Michigan,"1982 LA, 1983-1984 NYJ, 1984-1986 Cle, 1987 Dal"
Lilja Ryan,OG,Kansas State,"2004-2007,2009 Ind, 2010-2012 KC"
Lillard Joe,RB/DB,Oregon,1932-1933 ChiC
Lillibridge Marc,LB,Iowa State,NFLE: 1997 Ams
Lilljedahl Bobby,P,Texas,NFLE: 1991-1992 NYNJ
Lilly Bob,DT,Texas Christian,1961-1974 Dal
Lilly Kevin,DE,Tulsa,"1988-1989 SF, 1989 Dal"
Lilly Sammy,DB,Georgia Tech,"1989-1990 Phi, 1990 SD, 1991-1992 LA"
Lilly Tony,DB,Florida,1984-1987 Den
Lillywhite Verl,RB/LB,Southern California,1950-1951 SF
Lima Ray,DT,Iowa State,--
Limbrick Garrett,RB,Oklahoma State,1990 Mia
Limu-Jones Talolo,WR,Eastern Washington,--
Linam Josh,LB,Central Florida,--
Lince Dave,TE,North Dakota,1966-1967 Phi
Lincoln Jeremy,DB,Tennessee,"1993-1995 Chi, 1996 Stl, 1997 Sea, 1998-1999 NYG, 2000 Det"
Lincoln Keith,RB,Washington State,"1961-1966 SD, 1967-1968 Buf, 1968 SD"
Lind Mike,RB,Notre Dame,"1963-1964 SF, 1965-1966 Pit"
Lindahl Virgil,OG/OE,Kentucky,1945 NYG
Lindell Rian,K,Washington State,"2000-2002 Sea, 2003-2012 Buf, 2013 TB"
Lindeman A.J.,OT,Toledo,--
Linden Errol,OT,Houston,"1961 Cle, 1962-1965 Min, 1966-1968 Atl, 1969-1970 NO"
Linder Brandon,C,Miami,2014-2021 Jax
Linderbaum Tyler,C,Iowa,2022-2023 Bal
Lindholm Garrett,K,Tarleton State,--
Lindholm Matti,LB,Napropathic School,NFLE: 1991 Sac
Lindley Ryan,QB,San Diego State,"2012-2014 Ari, 2015 Ind"
Lindley Trevard,DB,Kentucky,2010 Phi
Lindley Zach,DB,Western Ontario,--
Lindon Luke,OT,Kentucky,1944-1945 Det
Lindow Allen,RB/DB,Washington (MO),1945 ChiC
Lindquist David,DL,Illinois,--
Lindquist Paul,DT,New Hampshire,1961 Bos
Lindsay Anton,DT,Temple,--
Lindsay Dominique,RB,East Carolina,--
Lindsay Everett,OG,Mississippi,"1993,1995,1997-1998 Min, 1999 Bal, 2000 Cle, 2001-2003 Min, NFLE: 1997 Bar"
Lindsay Phillip,RB,Colorado,"2018-2020 Den, 2021 Hou, 2021 Mia, 2022 Ind"
Lindsey Andre,WR,Sacramento State,--
Lindsey Brandon,LB,Pittsburgh,--
Lindsey Dale,LB,Western Kentucky,"1965-1972 Cle, 1973 NO"
Lindsey Hub,RB,Wyoming,1968 Den
Lindsey Jacob,LB,Harvard,--
Lindsey Jim,RB,Arkansas,1966-1972 Min
Lindsey Korey,DB,Southern Illinois,--
Lindsey Menz,BB/QB,Wabash,1921 Eva
Lindsey Nathan,DB,Fort Hays State,--
Lindsey Steve,K,Mississippi,"1999-2000 Jax, 2000 Den"
Lindsey Tim,LS,West Virginia,--
Lindsey Tyjon,WR,Oregon State,2023 Sea
Lindskog Vic,C,Stanford,1944-1951 Phi
Lindstrom Alec,C,Boston College,2023 Dal
Lindstrom Chris,DE,Boston University,"1983 Cin, 1983 SF, 1985 TB, 1987 KC"
Lindstrom Chris,OG,Boston College,2019-2023 Atl
Lindstrom Dave,DE,Boston University,1978-1985 KC
Lindstrom Eric,LB,Boston College,"NFLE: 1991-1992,1995 Bar"
Lindstrom Gabe,P,Toledo,"NFLE: 2002 Fra, 2006 Col"
Line Bill,DT,Southern Methodist,1972 Chi
Line Zach,RB,Southern Methodist,"2013-2016 Min, 2017-2019 NO"
Lineberry Morgan,K,Abilene Christian,--
Linehan Matt,QB,Idaho,--
Liner Dee,DT,Arkansas State,--
Lingenfelter Bob,OT,Nebraska,"1977 Cle, 1978 Min"
Lingmerth Goran,K,Northern Arizona,1987 Cle
Lingner Adam,C,Illinois,"1983-1986 KC, 1987 Buf, 1988 KC, 1989-1995 Buf"
Lingrel Chim,RB,Miami (OH),1923 Oor
Linhart Toni,K,Austria Tech School,"1972 NO, 1974-1979 Bal, 1979 NYJ"
Lininger Ray,LB/C,Ohio State,1950-1951 Det
Linkenbach Jeff,OT,Cincinnati,"2010-2013 Ind, 2014 KC, 2015 Mia, 2015 SD"
Linn Jack,OT,West Virginia,"1991 Ind, 1992-1993 Det, 1993 Cin"
Linnainmaa Kimi,WR,--,--
Linnan Frank,OT/OG,Marquette,"1922,1926 Rac"
Linne Aubrey,TE,Texas Christian,1961 Bal
Linne Larry,WR,Texas-El Paso,1987 NE
Linnenkohl Alex,C,Oregon State,--
Linnin Chris,DE,Washington,1980 NYG
Linsley Corey,C,Ohio State,"2014-2020 GB, 2021-2023 LAC"
Linson Damien,WR,Central Michigan,--
Linta T.J.,QB,Wagner,--
Linthicum Brian,TE,Michigan State,--
Linton Armani,DB,Mississippi,--
Linton Jonathan,RB,North Carolina,1998-2000 Buf
Lintz Andrei,TE,Washington State,--
Lintzenich Joe,RB,St. Louis,1930-1931 Chi
Lio Augie,OG/OT,Georgetown,"1941-1943 Det, 1944-1945 BosY, 1946 Phi"
Lipinski Jim,OT/DT,Fairmont State,1950 ChiC
Lippett Ronnie,DB,Miami,"1983-1988,1990-1991 NE"
Lippett Tony,DB,Michigan State,"2015-2016 Mia, 2018 NYG"
Lipps Louis,WR,Southern Mississippi,"1984-1991 Pit, 1992 NO"
Lipscomb Gene,DT,--,"1953-1955 LA, 1956-1960 Bal, 1961-1962 Pit"
Lipscomb Kalija,WR,Vanderbilt,--
Lipscomb Paul,OT/DT,Tennessee,"1945-1949 GB, 1950-1954 Was, 1954 Chi"
Lipski John,C,Temple,1933-1934 Phi
Lira Hugo,WR,Univ. de las Americas,"NFLE: 2003-2004 Fra, 2005 Ber"
Lisbon Don,RB,Bowling Green,1963-1964 SF
Lisch Rusty,QB,Notre Dame,"1980-1983 Stl, 1984 Chi"
Liscio Tony,OT,Tulsa,"1963-1964,1966-1971 Dal"
Liske Pete,QB,Penn State,"1964 NYJ, 1969-1970 Den, 1971-1972 Phi"
Lissemore Sean,DT,William & Mary,"2010-2012 Dal, 2013-2015 SD"
Listenbee Kolby,WR,Texas Christian,--
Liston Paul,OG,Georgetown,1930 Nwk
Listopad Ed,OG,Wake Forest,1952 ChiC
Liter Greg,DE,Iowa State,"1987 SF, 1987 Phi"
Litkus Red,OT/OE,--,1921 Was
Little Brent,WR,Southern Illinois,--
Little Dave,TE,Middle Tennessee State,"1984 KC, 1985-1989 Phi, 1990 Pho, 1991 Det"
Little David,LB,Florida,1981-1992 Pit
Little David,WR,Midwestern State,--
Little Derrick,LB,South Carolina,NFLE: 1991 SA
Little Earl,DB,Miami,"1998-1999 NO, 1999-2004 Cle, 2005 GB"
Little Everett,OG,Houston,1976 TB
Little Floyd,RB,Syracuse,1967-1975 Den
Little George,DE,Iowa,"1985-1987 Mia, NFLE: 1991-1992 Mtl"
Little Greg,WR,North Carolina,"2011-2013 Cle, 2014 Cin"
Little Greg,OT,Mississippi,"2019-2020 Car, 2022 Mia, 2023 Hou"
Little Jack,OT,Texas A&M,1953-1954 Bal
Little Jim,OT,Kentucky,1945 NYG
Little John,DT,Oklahoma State,"1970-1974 NYJ, 1975-1976 Hou, 1977 Buf"
Little Larry,OG,Bethune-Cookman,"1967-1968 SD, 1969-1980 Mia"
Little Leonard,DE,Tennessee,1998-2009 Stl
Little Lou,OT,Pennsylvania,1920-1921 Buf
Little Rafael,RB,Kentucky,--
Little Steve,P,Arkansas,1978-1980 Stl
Little Walker,OT,Stanford,2021-2023 Jax
Little Twig Joe,OE/OT,Carlisle,"1922-1923 Oor, 1924-1925 RI, 1926 Can, 1926 Akr"
Littlefield Carl,RB/DB,Washington State,"1938 Cle, 1939-1940 Pit"
Littlejohn Carlton,LB,North Dakota State,--
Littlejohn Jeff,DT,Middle Tennessee State,--
Littleton Cory,LB,Washington,"2016-2019 LA, 2020-2021 LV, 2022 Car, 2023 Hou"
Littleton Jody,LB,Baylor,"2002 Chi, 2003-2004 Det, 2005 Cle, NFLE: 2002-2003 Fra"
Litton Chase,QB,Marshall,--
Litwin Henry,WR,Slippery Rock,--
Liufau Sefo,QB,Colorado,--
Liuget Corey,DT,Illinois,"2011-2016 SD, 2017-2018 LAC, 2019 Oak, 2019 Buf, 2020 Hou"
Livas Phillip,WR,Louisiana Tech,--
Livers Mickey,RB,Georgetown,1921 Was
Livers Virgil,DB,Western Kentucky,1975-1979 Chi
Livings Chris,DL,McNeese State,--
Livings Nate,OG,Louisiana State,"2007-2011 Cin, 2012 Dal"
Livingston Andy,RB,Phoenix JC (AZ),"1964-1965,1967-1968 Chi, 1969-1970 NO"
Livingston Bruce,DB,Arkansas Tech,1987 Dal
Livingston Cliff,LB/DE,UCLA,"1954-1961 NYG, 1962 Min, 1963-1965 LA"
Livingston Dale,K,Western Michigan,"1968-1969 Cin, 1970 GB"
Livingston Howie,RB/DB,Fullerton JC (CA),"1944-1947 NYG, 1948-1950 Was, 1950 SF, 1953 Chi"
Livingston Mike,QB,Southern Methodist,1968-1979 KC
Livingston Ted,OT/OG,Indiana,1937-1940 Cle
Livingston Walt,RB,Heidelberg,1960 Bos
Livingston Warren,DB,Arizona,1961-1966 Dal
Livingstone Bobby,RB/DB,Notre Dame,1950 Bal
Liwienski Chris,OG,Indiana,"1998,2000-2005 Min, 2006 Ari, 2007 Mia"
Llorens De'Mard,RB,Northwestern State,--
Lloyd Armond,DT,Samford,--
Lloyd Brandon,WR,Illinois,"2003-2005 SF, 2006-2007 Was, 2008 Chi, 2009-2011 Den, 2011 Stl, 2012 NE, 2014 SF"
Lloyd Damon,LB,Indiana (PA),--
Lloyd Dan,LB,Washington,1976-1979 NYG
Lloyd Dave,LB/C,Georgia,"1959-1961 Cle, 1962 Det, 1963-1970 Phi"
Lloyd DeAngelo,DE,Tennessee,"NFLE: 2002 Fra, 2005 Ber"
Lloyd Devin,LB,Utah,2022-2023 Jax
Lloyd Doug,RB,North Dakota State,1991 LAR
Lloyd Greg,LB,Fort Valley State,"1988-1997 Pit, 1998 Car"
Lloyd Greg,LB,Connecticut,"2011 Phi, 2012 Buf"
Lloyd Jeff,DE,West Texas A&M,"1976 Buf, 1978 KC"
Lloyd Johnathan,WR,Duke,--
Lloyd Rhys,K,Minnesota,"2007 Bal, 2007-2010 Car, NFLE: 2007 Fra"
Lloyd Ricky,QB,Mankato State,--
Lloyd Tarren,TE,Utah State,--
Lloyd Terrance,LB,Baylor,--
Lloyd William,LB,Troy State,--
Loadholt Phil,OT,Oklahoma,2009-2014 Min
Lobato Seth,QB,Northern Colorado,--
Lobdell Joe,OT,Northern Iowa,--
Lobel Blake,DT,San Diego State,--
Lobendahn Joe,LB,Washington,--
Lobendahn Toa,OL,Southern California,--
Lobenstein Bill,DE,Wisconsin-Whitewater,1987 Den
Loberg Greg,OG,California,1987 NO
Lochard Pascal,RB,Laval,--
Lock Drew,QB,Missouri,"2019-2021 Den, 2022-2023 Sea"
Locke Derrick,RB,Kentucky,--
Locke Jeff,P,UCLA,"2013-2016 Min, 2017 Det"
Locke P.J.,DB,Texas,2020-2023 Den
Locker Jake,QB,Washington,2011-2014 Ten
Lockett Bret,DB,UCLA,2009-2011 NE
Lockett Charles,WR,Long Beach State,"1987-1988 Pit, NFLE: 1991 NYNJ"
Lockett Colin,WR,San Diego State,--
Lockett Danny,LB,Arizona,"1987-1988 Det, NFLE: 1991-1992 Lon"
Lockett Frank,WR,Nebraska,1985 Mia
Lockett J.W.,RB,Central Oklahoma,"1961 SF, 1961-1962 Dal, 1963 Bal, 1964 Was"
Lockett Kevin,WR,Kansas State,"1997-2000 KC, 2001-2002 Was, 2002 Jax, 2003 NYJ"
Lockett Tyler,WR,Kansas State,2015-2023 Sea
Lockett Wade,WR,Cal State-Fullerton,1987 LAR
Lockette Ricardo,WR,Fort Valley State,"2011,2013-2015 Sea"
Lockhart Carl,DB,North Texas,1965-1975 NYG
Lockhart Eugene,LB,Houston,"1984-1990 Dal, 1991-1992 NE"
Lockhart James,DE,Baylor,--
Lockhart Radell,DE,Catawba,"NFLE: 2002-2003 Sco, 2004 Fra"
Locklear Sean,OT,North Carolina State,"2004-2010 Sea, 2011 Was, 2012 NYG, 2013 Atl"
Lockley Michael,LB,Florida Atlantic,2011 Jax
Locklin Billy,LB,New Mexico State,1960 Oak
Locklin Kerry,TE,New Mexico State,"1982 LA, 1987 Den"
Locksley Kai,WR,Texas-El Paso,--
Lockwood Scott,RB,Southern California,1992-1993 NE
Lodge DaMarkus,WR,Mississippi,--
Lodish Mike,DT,UCLA,"1990-1994 Buf, 1995-2000 Den"
Loeffler Cullen,LS,Texas,2004-2014 Min
Loepfe Dick,OT,Wisconsin,1948-1949 ChiC
Loewen Chuck,OT,South Dakota State,"1980-1982,1984 SD"
Loewen Mitchell,LB,Arkansas,"2017 NO, 2018 Det, 2018-2019 NO"
Loffler Taylor,DB,British Columbia,--
Lofton Billy,DT,Kentucky,NFLE: 1995 Lon
Lofton Curtis,LB,Oklahoma,"2008-2011 Atl, 2012-2014 NO, 2015 Oak"
Lofton Eric,OL,Temple,--
Lofton James,WR,Stanford,"1978-1986 GB, 1987-1988 LAR, 1989-1992 Buf, 1993 LA, 1993 Phi"
Lofton Oscar,OE,Southeastern Louisiana,1960 Bos
Lofton Steve,DB,Texas A&M,"1991-1993 Pho, 1995-1996 Car, 1997-1998 NE, 1998-1999 Car, NFLE: 1991 Mtl"
Logan Abner,LB,Albany (NY),--
Logan Andy,OT/C,Case Western Reserve,1941 Det
Logan Bennie,DT,Louisiana State,"2013-2016 Phi, 2017 KC, 2018 Ten"
Logan Chuck,TE,Northwestern,"1964 Pit, 1965,1967-1968 Stl"
Logan Clyde,WR,Idaho State,--
Logan Dave,WR,Colorado,"1976-1983 Cle, 1984 Den"
Logan David,DT,Pittsburgh,"1979-1986 TB, 1987 GB"
Logan Dick,OG/DT,Ohio State,1952-1953 GB
Logan Ernie,DT,East Carolina,"1991-1992 Cle, 1993 Atl, 1995-1996 Jax, 1997-2000 NYJ"
Logan Glen,DT,Louisiana State,--
Logan James,LB,Memphis,"1995 Hou, 1995 Cin, 1995-2000 Sea, NFLE: 1997 Sco"
Logan Jerry,DB,West Texas A&M,1963-1972 Bal
Logan Jim,OG,Indiana,1943 Chi
Logan Marc,RB,Kentucky,"1987-1988 Cin, 1989-1991 Mia, 1992-1994 SF, 1995-1997 Was"
Logan Mike,DB,West Virginia,"1997-2000 Jax, 2001-2006 Pit"
Logan Obert,DB,Trinity (TX),"1965-1966 Dal, 1967 NO"
Logan Peyton,RB,Tennessee-Martin,--
Logan Phil,WR,Kentucky,NFLE: 1992 Ohio
Logan Randy,DB,Michigan,1973-1983 Phi
Logan Stefan,RB,South Dakota,"2009 Pit, 2010-2012 Det"
Logan T.J.,RB,North Carolina,"2018 Ari, 2019 TB"
Logan Tony,WR,Maryland,--
Logel Bob,OE,Sampson CC (NC),--
Loggins Jarett,DT,Northern Arizona,NFLE: 1999-2000 Bar
Lohmeyer John,DE,Emporia State,"1973,1975-1977 KC"
Lohmiller Chip,K,Minnesota,"1988-1994 Was, 1995 NO, 1996 Stl"
Lohr Rob,DE,Vanderbilt,--
Loiseau Shawn,LB,Merrimack,--
Loiselle Mathieu,LB,Wagner,--
Lokanc Joe,OG,Northwestern,1941 ChiC
Lokey Derek,DT,Texas,2008-2009 KC
Lokombo Boseko,LB,Oregon,--
Lokombo Nelson,DB,Saskatchewan,--
Lollar Slick,RB,Samford,1928 GB
Lolotai Al,OG/OT,Weber State,1945 Was
Lomack Tony,WR,Florida,"1990 LA, 1991 Pho"
Lomakoski John,OT,Western Michigan,1962 Det
Lomas Mark,DE,Northern Arizona,1970-1974 NYJ
Lomasney Tom,OE,Villanova,1929 SI
Lomax Jordan,DB,Iowa,--
Lomax Neil,QB,Portland State,"1981-1987 Stl, 1988 Pho"
Lombardo Lou,OT,Maryland,--
London Antonio,LB,Alabama,"1993-1997 Det, 1998 GB"
London Brandon,WR,Massachusetts,2008 Mia
London Bryan,LB,Texas State,--
London Drake,WR,Southern California,2022-2023 Atl
London LaCale,DT,Western Illinois,"2021 Chi, 2023 Atl"
London Madre,RB,Tennessee,--
London Mike,LB,Wisconsin,1966 SD
London Tom,DB,North Carolina State,1978 Cle
Londot Todd,OG/OT,Miami (OH),--
Lone Star Frank,OG/OT,Carlisle,1920 Col
Lone Wolf Ted,OG/OT,--,1922-1923 Oor
Loneker Keith,OG,Kansas,"1993-1994 LA, 1995 Stl"
Lonergan P.J.,C,Louisiana State,--
Long Bill,OE,Oklahoma State,1949 Pit
Long Bob,WR,Wichita State,"1964-1967 GB, 1968 Atl, 1969 Was, 1970 LA"
Long Bob,LB,UCLA,"1955 LA, 1955-1959 Det, 1960-1961 LA, 1962 Dal"
Long Bob,RB,Tennessee,1947 BosY
Long Brandon,LB,Michigan State,--
Long Buford,RB/DB,Florida,1953-1955 NYG
Long Carson,K,Pittsburgh,1977 Buf
Long Charlie,OT,Tennessee-Chattanooga,1961-1969 Bos
Long Chris,DE,Virginia,"2008-2015 Stl, 2016 NE, 2017-2018 Phi"
Long Chuck,QB,Iowa,"1986-1989 Det, 1990 LA, 1991 Det"
Long Darren,TE,Long Beach State,1986 LA
Long Dave,DE,Iowa,"1966-1968 Stl, 1969-1972 NO"
Long David,DB,Michigan,"2019-2022 LA, 2023 LV"
Long David,LB,West Virginia,"2019-2022 Ten, 2023 Mia"
Long Deon,WR,Maryland,--
Long Devan,DE,Oregon,NFLE: 2007 Col
